iter	Passed	Remaining
930	21177	12942
931	21198	12919
932	21218	12894
933	21238	12870
934	21258	12846
935	21280	12822
936	21306	12801
937	21329	12779
938	21353	12757
939	21375	12734
940	21400	12712
941	21420	12688
942	21443	12665
943	21449	12633
944	21471	12610
945	21492	12586
946	21514	12563
947	21538	12541
948	21559	12517
949	21581	12494
950	21603	12471
951	21626	12449
952	21652	12428
953	21673	12404
954	21694	12380
955	21714	12356
956	21734	12332
957	21755	12308
958	21779	12286
959	21800	12262
960	21821	12239
961	21842	12215
962	21864	12192
963	21887	12169
964	21906	12145
965	21927	12121
966	21948	12097
967	21969	12074
968	21990	12050
969	22010	12026
970	22031	12002
971	22052	11979
972	22072	11954
973	22092	11931
974	22115	11908
975	22135	11884
976	22154	11859
977	22175	11836
978	22197	11812
979	22218	11789
980	22238	11765
981	22259	11741
982	22280	11718
983	22303	11695
984	22327	11673
985	22349	11650
986	22370	11627
987	22399	11607
988	22421	11584
989	22440	11560
990	22462	11537
991	22483	11513
992	22506	11491
993	22527	11467
994	22548	11444
995	22569	11420
996	22591	11397
997	22613	11374
998	22634	11351
999	22657	11328
1000	22677	11304
1001	22697	11280
1002	22718	11257
1003	22740	11234
1004	22763	11212
1005	22783	11187
1006	22803	11163
1007	22823	11140
1008	22845	11117
1009	22867	11094
1010	22887	11070
1011	22912	11048
1012	22933	11025
1013	22953	11001
1014	22973	10977
1015	22994	10953
1016	23014	10930
1017	23035	10906
1018	23054	10882
1019	23074	10858
1020	23098	10836
1021	23120	10813
1022	23140	10790
1023	23162	10766
1024	23183	10743
1025	23204	10720
1026	23226	10697
1027	23247	10673
1028	23268	10650
1029	23290	10627
1030	23310	10604
1031	23330	10580
1032	23352	10557
1033	23371	10533
1034	23393	10510
1035	23414	10487
1036	23436	10463
1037	23465	10444
1038	23487	10421
1039	23513	10400
1040	23536	10377
1041	23557	10354
1042	23578	10331
1043	23601	10308
1044	23623	10285
1045	23643	10262
1046	23662	10237
1047	23682	10214
1048	23703	10190
1049	23723	10167
1050	23743	10143
1051	23763	10119
1052	23784	10096
1053	23804	10072
1054	23826	10050
1055	23846	10026
1056	23868	10003
1057	23887	9979
1058	23909	9956
1059	23930	9933
1060	23949	9909
1061	23971	9886
1062	23995	9864
1063	24016	9841
1064	24037	9818
1065	24059	9795
1066	24080	9772
1067	24100	9748
1068	24120	9724
1069	24139	9700
1070	24163	9678
1071	24184	9655
1072	24206	9633
1073	24227	9609
1074	24247	9586
1075	24268	9563
1076	24287	9539
1077	24307	9515
1078	24326	9491
1079	24346	9467
1080	24365	9444
1081	24385	9420
1082	24406	9397
1083	24424	9373
1084	24445	9350
1085	24465	9326
1086	24486	9303
1087	24507	9280
1088	24529	9257
1089	24551	9234
1090	24573	9212
1091	24596	9189
1092	24617	9166
1093	24637	9143
1094	24659	9120
1095	24681	9097
1096	24701	9074
1097	24721	9050
1098	24741	9027
1099	24760	9003
1100	24782	8981
1101	24802	8957
1102	24822	8934
1103	24842	8910
1104	24863	8887
1105	24882	8864
1106	24902	8840
1107	24922	8817
1108	24942	8793
1109	24962	8770
1110	24983	8747
1111	25003	8724
1112	25026	8702
1113	25059	8683
1114	25089	8663
1115	25113	8641
1116	25133	8617
1117	25156	8595
1118	25177	8572
1119	25201	8550
1120	25224	8528
1121	25243	8504
1122	25263	8481
1123	25284	8458
1124	25304	8434
1125	25322	8410
1126	25344	8388
1127	25366	8365
1128	25385	8342
1129	25408	8319
